gene_id	gene_name	alpha	cv_mse	lambda_iteration	lambda_min	n_snps_in_model	cv_R2_avg	cv_R2_sd	in_sample_R2	pred_perf_R2	pred_perf_pval
ENSG00000100056.11	DGCR14	0.5	0.817490540222413	15	0.232353770229009	5	0.160126874642574	0.083516403746013	0.173142528261986	0.170968760349443	3.72686645574318e-13
ENSG00000260924.2	LINC01311	0.5	0.967542278017115	7	0.285349005762608	1	-0.00247172590519741	0.0141990626284367	0.0139654098794407	0.000627010856740575	0.674347030627417
ENSG00000100075.9	SLC25A1	0.5	0.939762252985567	14	0.217024293852785	9	-0.00211677928709448	0.0640796587700771	0.0729883992145048	0.00710388080368038	0.156586594229412
ENSG00000070371.15	CLTCL1	0.5	0.836709520366578	23	0.288011197590156	13	0.112542206310342	0.0819979977669121	0.155196345294046	0.150738823242508	1.18552123530847e-11
ENSG00000100084.14	HIRA	0.5	0.979670255434596	1	0.320609442671027	0	NA	NA	NA	NA	NA
ENSG00000242259.8	C22orf39	0.5	0.941636314130595	13	0.204895509738129	12	0.00884604961300963	0.0475359252626138	0.0666143522895803	0.00448855799912151	0.260447615345545
ENSG00000185608.8	MRPL40	0.5	0.957456440087082	15	0.196124474857092	23	0.0213638012568317	0.048127018447567	0.106296211879038	0.0166305269693897	0.0297985345160121
ENSG00000185065.6	AC000068.5	0.5	0.94636077133038	18	0.208713937079445	14	0.0374754362779394	0.0406791018943225	0.105613459255348	0.0394984236526054	0.000756742413333241
ENSG00000070010.18	UFD1L	0.5	0.976337053272179	1	0.328505135289841	0	NA	NA	NA	NA	NA
ENSG00000273300.1	AC000068.9	0.5	0.923695823519713	28	0.108153364708685	51	0.0394183505070748	0.140989746158181	0.272875811240976	0.0477286902725224	0.000206943712383652
ENSG00000273212.1	AC000068.10	0.5	0.980523968426758	1	0.317461423345052	0	NA	NA	NA	NA	NA
ENSG00000093009.9	CDC45	0.5	0.959450026830526	12	0.243323890058035	12	-0.000619103635605489	0.0393561594908551	0.0656741859493533	0.00527041391544608	0.222597218699033
ENSG00000184113.9	CLDN5	0.5	0.964997687901762	13	0.237223064721818	9	0.0071193632896483	0.0325506790812213	0.0552619989622208	0.00568755251021317	0.205108550968819
ENSG00000184702.17	SEPT5	0.5	0.986754160473028	1	0.255349170441842	0	NA	NA	NA	NA	NA
ENSG00000184058.12	TBX1	0.5	0.975464098316326	1	0.330750113635613	0	NA	NA	NA	NA	NA
ENSG00000185838.13	GNB1L	0.5	0.861608814412631	26	0.170092341633571	18	0.131767351335014	0.0618609602479865	0.211832060102321	0.138546036080899	9.21119037557634e-11
ENSG00000235776.2	AC000089.3	0.5	0.978309038217782	1	0.333969366551482	0	NA	NA	NA	NA	NA
ENSG00000215012.8	C22orf29	0.5	0.745916647961296	32	0.211345184297052	10	0.234121441954051	0.0764959999384684	0.2667899471939	0.244865129957183	6.00938336223515e-19
ENSG00000184470.20	TXNRD2	0.5	0.918560298597544	19	0.265353006616134	4	0.0449416314336917	0.0714734394141255	0.0868652195595897	0.0527016745265405	9.46317199182288e-05
ENSG00000232926.1	AC000078.5	0.5	0.682109232035736	38	0.158720567087824	20	0.293425739684068	0.0790081155981794	0.391113168616021	0.313429021186789	7.90169443222337e-25
ENSG00000093010.13	COMT	0.5	0.926116423770062	20	0.214791988489952	16	0.0496575401714402	0.0711783381459165	0.12105451958911	0.0450244079095226	0.00031674657103179
ENSG00000099889.13	ARVCF	0.5	0.828411694710232	26	0.250792179371627	5	0.13678603999814	0.105557731864197	0.161193922596856	0.144724928862493	3.26938708182898e-11
ENSG00000183597.15	TANGO2	0.5	0.960162337364168	22	0.136428852078243	33	-0.0138982648087034	0.193305362910125	0.229412378402632	0.0169453044309365	0.0282786170976045
ENSG00000236540.7	AC006547.13	0.5	0.967295615963632	12	0.229770424686299	16	-0.000388128695310308	0.0334689083211315	0.0722497417772984	0.00334719917277775	0.331297629449864
ENSG00000128191.15	DGCR8	0.5	0.986260926794363	1	0.307865936800578	0	NA	NA	NA	NA	NA
ENSG00000099899.14	TRMT2A	0.5	0.969637418419924	6	0.316974962756348	14	-0.00167212085777163	0.0133502471855843	0.0153578240642459	0.000131357636552698	0.847506459630353
ENSG00000099901.16	RANBP1	0.5	0.964469186932829	11	0.245768991366259	6	0.00278304176965899	0.0351752543582977	0.0448349603841902	0.00179589982753311	0.476875034201042
ENSG00000099904.15	ZDHHC8	0.5	0.957473668129249	13	0.263557733863699	16	0.0286824284354633	0.0234968433077156	0.0535592138679398	0.0332251636978561	0.00204149087732008
ENSG00000234409.6	CCDC188	0.5	0.961489160970471	18	0.165085753605587	38	0.0119247390214683	0.0607534208249912	0.150912648385117	0.0183513378104643	0.0224068538051647
ENSG00000249923.1	XXbac-B444P24.8	0.5	0.859742708637935	29	0.192896987841867	15	0.113664182111832	0.0740029621260007	0.192754997436108	0.100586531330849	4.68481847876249e-08
ENSG00000236499.2	LINC00896	0.5	0.98244015352338	1	0.287241134665719	0	NA	NA	NA	NA	NA
ENSG00000040608.13	RTN4R	0.5	0.984402941479505	1	0.301407906546331	0	NA	NA	NA	NA	NA
ENSG00000161132.6	XXbac-B444P24.10	0.5	0.968821261413124	9	0.266298049317787	6	-0.00669011418135207	0.0332816960759136	0.0270152826526642	1.68352086120234e-05	0.945115746727529
ENSG00000128185.9	DGCR6L	0.5	0.762107003985698	32	0.225794848938076	7	0.232845466157022	0.106426509933934	0.24473988369818	0.230742183322388	8.43431520701687e-18
ENSG00000273343.1	XXbac-B444P24.13	0.5	0.984017505579355	1	0.308242401377071	0	NA	NA	NA	NA	NA
ENSG00000185252.18	ZNF74	0.5	0.891264330251665	20	0.262051990976611	4	0.0700360074485837	0.063244550921244	0.105335101361888	0.0738637271426445	3.35699513955997e-06
ENSG00000244486.8	SCARF2	0.5	0.977841610141877	1	0.355088144742935	0	NA	NA	NA	NA	NA
ENSG00000099910.16	KLHL22	0.5	0.972427086115591	6	0.287490079965748	4	-0.00762244389362801	0.0116157704126395	0.019121333697799	0.000732878752133833	0.6496185697246
ENSG00000215493.3	XXbac-B562F10.11	0.5	0.973931222700569	1	0.289692957133401	0	NA	NA	NA	NA	NA
ENSG00000236670.1	KRT18P5	0.5	0.976494120078194	4	0.31822507058906	1	-0.00375208455707773	0.00678378041607904	0.00730779512629909	0.000930726167329651	0.608666137598553
ENSG00000099917.17	MED15	0.5	0.775294793337879	33	0.20749914976315	9	0.180237282251985	0.115830613082654	0.246585604370792	0.204324280045511	1.04543373431757e-15
ENSG00000226287.8	TMEM191A	0.5	0.978623568857038	1	0.326985498006423	0	NA	NA	NA	NA	NA
ENSG00000241973.10	PI4KA	0.5	0.807948283380771	35	0.16421031450448	26	0.15897258979129	0.104160838022734	0.254639038768287	0.170363499254969	4.13785461392535e-13
ENSG00000099937.10	SERPIND1	0.5	0.915541146852272	18	0.281996888922494	10	0.0551676022007275	0.0463275303767359	0.0817532343731691	0.0621503582849633	2.13733741084139e-05
ENSG00000099940.11	SNAP29	0.5	0.700485179900853	34	0.192091614834367	24	0.269939394304761	0.16314496195783	0.342541882601207	0.285531859747918	2.2721723969834e-22
ENSG00000099942.12	CRKL	0.5	0.960750747155498	8	0.245061910353299	7	-0.0105374232268645	0.0305013478494313	0.0308180887535756	0.000556799670355687	0.692135749731971
ENSG00000237476.1	LINC01637	0.5	0.961926501181349	17	0.180487925350051	22	0.00758358439987314	0.0543993405996203	0.0933698345142548	0.0122318528285778	0.0626990654279717
ENSG00000183773.15	AIFM3	0.5	0.876869897373492	24	0.195536057491277	14	0.104082488357957	0.051477858908693	0.173807306471451	0.123242738809669	1.16618515090062e-09
ENSG00000099949.18	LZTR1	0.5	0.870720267753532	26	0.219995457426927	11	0.108816188828561	0.0861111378334854	0.164342594750613	0.107435019356953	1.54590478946894e-08
ENSG00000272829.1	XXbac-B135H6.18	0.5	0.966292411639394	20	0.158924484738097	19	-0.000301761735531769	0.0777284216796809	0.112512765439649	0.0050294666112646	0.233507046961377
ENSG00000184436.11	THAP7	0.5	0.941417235467676	6	0.294661249569859	3	0.016787673549471	0.0226553112313305	0.0391171012511408	0.0220387666292919	0.0122568718006525
ENSG00000230513.1	THAP7-AS1	0.5	0.455380370440042	29	0.103991885165164	24	0.537053659402504	0.108167130157632	0.597387017480713	0.527784568436807	7.37240519987527e-48
ENSG00000099957.16	P2RX6	0.5	0.935016081942695	10	0.193899306058701	27	0.0457759905259194	0.0796372721940983	0.130966326355072	0.0378729200994855	0.00097816952096067
ENSG00000284130.1	AC002472.16	0.5	0.979262955186893	6	0.212600018794289	11	-0.0206144010148212	0.078710218806663	0.047923066320648	0.00128014759481167	0.548177060552102
ENSG00000099960.12	SLC7A4	0.5	0.980757360653841	1	0.326825002249027	0	NA	NA	NA	NA	NA
ENSG00000169635.9	HIC2	0.5	0.979398877805485	1	0.332381490596293	0	NA	NA	NA	NA	NA
ENSG00000206140.10	TMEM191C	0.5	0.972851704695131	1	0.34476708552029	0	NA	NA	NA	NA	NA
ENSG00000183506.17	PI4KAP2	0.5	0.967431881274318	5	0.307014507108992	4	0.000581474378528835	0.0402204775897318	0.0239536956688593	0.00174784164384605	0.482836973916935
ENSG00000185651.14	UBE2L3	0.5	0.979098602520839	2	0.3125951826034	1	-0.011088243611669	0.0147007837467456	0.00447501047547549	0.0168857760609079	0.0285597741617148
