geneid	transid	genename	gene_type	chr	start	end	anno	direction
ENSG00000183307.3		CECR6	protein_coding	chr22	17116299	17121367	gene	-
ENSG00000235478.4		LINC01664	lincRNA	chr22	17121586	17132104	gene	+
ENSG00000069998.12		HDHD5	protein_coding	chr22	17137511	17165287	gene	-
ENSG00000185837.3		CECR5-AS1	antisense	chr22	17159384	17165445	gene	+
ENSG00000093072.15		CECR1	protein_coding	chr22	17178790	17221989	gene	-
ENSG00000236325.1		AC005300.5	processed_pseudogene	chr22	17192936	17193308	gene	+
ENSG00000203416.3		FAM32BP	processed_pseudogene	chr22	17213516	17214155	gene	+
ENSG00000241832.1		CECR3	lincRNA	chr22	17256859	17266733	gene	-
ENSG00000231004.2		CECR9	TEC	chr22	17329034	17329232	gene	+
ENSG00000239547.3		RN7SL843P	misc_RNA	chr22	17352881	17353177	gene	-
ENSG00000099954.18		CECR2	protein_coding	chr22	17359949	17558149	gene	+
ENSG00000229492.1		AC004019.10	processed_pseudogene	chr22	17418697	17419828	gene	+
ENSG00000232305.1		CLCP1	processed_pseudogene	chr22	17424388	17424775	gene	-
ENSG00000228045.1		DNAJA1P6	processed_pseudogene	chr22	17518676	17519029	gene	-
ENSG00000182902.13		SLC25A18	protein_coding	chr22	17563439	17590994	gene	+
ENSG00000236754.5		AC004019.13	antisense	chr22	17580157	17589192	gene	-
ENSG00000131100.12		ATP6V1E1	protein_coding	chr22	17592136	17628818	gene	-
ENSG00000099968.17		BCL2L13	protein_coding	chr22	17628855	17730855	gene	+
ENSG00000015475.18		BID	protein_coding	chr22	17734138	17774770	gene	-
ENSG00000264757.1		MIR3198-1	miRNA	chr22	17764180	17764259	gene	-
ENSG00000269220.1		LINC00528	lincRNA	chr22	17777322	17779481	gene	+
ENSG00000243156.7		MICAL3	protein_coding	chr22	17787649	18024559	gene	-
ENSG00000093100.13		XXbac-B461K10.4	processed_transcript	chr22	17787652	17811497	gene	-
ENSG00000207780.1		MIR648	miRNA	chr22	17980868	17980961	gene	-
ENSG00000235445.1		XXbac-B476C20.14	sense_intronic	chr22	17983205	17983619	gene	-
ENSG00000234913.1		XXbac-B476C20.13	sense_intronic	chr22	18004270	18007308	gene	-
ENSG00000237446.1		RHEBP3	processed_pseudogene	chr22	18019214	18020200	gene	+
ENSG00000235295.1		LINC01634	lincRNA	chr22	18029385	18037968	gene	+
ENSG00000225335.3		XXbac-B476C20.9	antisense	chr22	18076527	18078884	gene	-
ENSG00000215193.12		PEX26	protein_coding	chr22	18077920	18131138	gene	+
ENSG00000236890.2		XXbac-B476C20.11	processed_pseudogene	chr22	18081466	18081675	gene	-
ENSG00000235617.1		XXbac-B476C20.10	unprocessed_pseudogene	chr22	18101612	18101888	gene	+
ENSG00000225225.1		ARL2BPP10	processed_pseudogene	chr22	18102457	18103649	gene	-
ENSG00000183785.14		TUBA8	protein_coding	chr22	18110331	18146554	gene	+
ENSG00000280007.1		AC008079.10	antisense	chr22	18110759	18131154	gene	-
ENSG00000184979.9		USP18	protein_coding	chr22	18149899	18177397	gene	+
ENSG00000187979.4		AC008079.9	antisense	chr22	18178038	18205915	gene	-
ENSG00000276160.1		GGTLC5P	unprocessed_pseudogene	chr22	18340145	18345899	gene	+
ENSG00000274044.4		LINC01660	lincRNA	chr22	18361823	18391105	gene	-
ENSG00000276874.1		AC011718.3	lincRNA	chr22	18374106	18375689	gene	+
ENSG00000275060.1		PPP1R26P3	unprocessed_pseudogene	chr22	18400407	18404206	gene	-
ENSG00000277870.5		FAM230A	protein_coding	chr22	18422244	18500594	gene	+
ENSG00000277017.1		XXbac-B33L19.6	lincRNA	chr22	18486999	18491247	gene	-
ENSG00000278044.1		XXbac-B33L19.12	lincRNA	chr22	18501794	18512187	gene	-
ENSG00000274252.1		GGTLC3	protein_coding	chr22	18516344	18518161	gene	-
ENSG00000275319.1		Metazoa_SRP	misc_RNA	chr22	18524620	18524935	gene	+
ENSG00000277690.2		XXbac-B33L19.15	processed_pseudogene	chr22	18527157	18527626	gene	+
ENSG00000278558.4		TMEM191B	protein_coding	chr22	18527802	18530573	gene	+
ENSG00000274602.4		PI4KAP1	transcribed_unprocessed_pseudogene	chr22	18533646	18577968	gene	-
ENSG00000274625.1		SCARNA17	scaRNA	chr22	18605355	18605497	gene	+
ENSG00000222630.2		RN7SKP131	misc_RNA	chr22	18605802	18606102	gene	-
ENSG00000275793.1		RIMBP3	protein_coding	chr22	18605815	18611919	gene	-
ENSG00000275362.1		Metazoa_SRP	misc_RNA	chr22	18615581	18615900	gene	+
ENSG00000278110.1		SUSD2P2	unprocessed_pseudogene	chr22	18623339	18625289	gene	-
ENSG00000273907.1		CA15P2	unprocessed_pseudogene	chr22	18636445	18638405	gene	-
ENSG00000273643.1		PPP1R26P2	processed_pseudogene	chr22	18650023	18653617	gene	-
ENSG00000278008.1		PPP1R26P4	processed_pseudogene	chr22	18715815	18719341	gene	+
ENSG00000182824.7		LINC01662	lincRNA	chr22	18733914	18757906	gene	+
ENSG00000197421.9		GGT3P	transcribed_unprocessed_pseudogene	chr22	18773665	18843399	gene	-
ENSG00000239989.1		AC008132.14	transcribed_processed_pseudogene	chr22	18794414	18794804	gene	-
ENSG00000234764.2		E2F6P1	processed_pseudogene	chr22	18833694	18834438	gene	+
ENSG00000161103.11		AC008132.13	transcribed_processed_pseudogene	chr22	18846811	18861049	gene	+
ENSG00000215544.6		BCRP7	unprocessed_pseudogene	chr22	18855621	18858640	gene	-
ENSG00000276095.2		LINC01663	lincRNA	chr22	18873543	18894407	gene	-
ENSG00000279987.1		AC008103.4	sense_intronic	chr22	18883502	18884682	gene	-
ENSG00000183628.12		DGCR6	protein_coding	chr22	18906028	18914238	gene	+
ENSG00000283809.1		AC007326.13	protein_coding	chr22	18906238	18947732	gene	+
ENSG00000100033.16		PRODH	protein_coding	chr22	18912777	18936553	gene	-
ENSG00000284294.1		AC007326.11	processed_transcript	chr22	18936411	18947741	gene	+
ENSG00000280418.1		AC007326.10	lincRNA	chr22	18951934	18959512	gene	-
ENSG00000237517.9		DGCR5	transcribed_unprocessed_pseudogene	chr22	18970514	18994628	gene	+
ENSG00000283406.1		DGCR5	processed_transcript	chr22	18970525	19031242	gene	+
ENSG00000283583.1		AC007326.12	unprocessed_pseudogene	chr22	18980695	18981325	gene	-
ENSG00000271275.1		AC007326.9	processed_pseudogene	chr22	18997138	18997595	gene	-
ENSG00000283366.1		AC000095.12	transcribed_unprocessed_pseudogene	chr22	18998274	19014786	gene	+
ENSG00000273032.1		DGCR9	lincRNA	chr22	19017834	19020248	gene	+
ENSG00000270393.1		AC000095.9	processed_pseudogene	chr22	19018043	19018916	gene	-
ENSG00000273164.1		DGCR10	sense_intronic	chr22	19023056	19023550	gene	+
ENSG00000241527.1		CA15P1	unitary_pseudogene	chr22	19031564	19034564	gene	-
ENSG00000070413.19		DGCR2	protein_coding	chr22	19036282	19122454	gene	-
ENSG00000206739.1		Y_RNA	misc_RNA	chr22	19045256	19045367	gene	+
ENSG00000273311.1		DGCR11	sense_intronic	chr22	19046162	19048375	gene	-
ENSG00000237347.2		AC004461.4	processed_pseudogene	chr22	19055801	19056512	gene	+
ENSG00000281530.1		DGCR12	sense_intronic	chr22	19061041	19061843	gene	-
ENSG00000223461.1		AC004471.9	antisense	chr22	19121529	19124503	gene	+
ENSG00000272682.1		AC004471.10	lincRNA	chr22	19124309	19128449	gene	-
ENSG00000231086.1		TSSK1A	unitary_pseudogene	chr22	19124879	19125646	gene	+
ENSG00000100056.11		DGCR14	protein_coding	chr22	19130279	19144684	gene	-
ENSG00000206203.4		TSSK2	protein_coding	chr22	19130808	19132623	gene	+
ENSG00000063515.2		GSC2	protein_coding	chr22	19148576	19150283	gene	-
ENSG00000260924.2		LINC01311	antisense	chr22	19171395	19172839	gene	+
ENSG00000100075.9		SLC25A1	protein_coding	chr22	19175575	19178830	gene	-
ENSG00000070371.15		CLTCL1	protein_coding	chr22	19179473	19291716	gene	-
ENSG00000230194.1		AC000081.2	processed_pseudogene	chr22	19238443	19238739	gene	-
ENSG00000251940.1		SNORA15	snoRNA	chr22	19249873	19249966	gene	+
ENSG00000233471.2		KRT18P62	processed_pseudogene	chr22	19257520	19258806	gene	+
ENSG00000100084.14		HIRA	protein_coding	chr22	19330698	19447450	gene	-
ENSG00000242259.8		C22orf39	protein_coding	chr22	19351368	19448232	gene	-
ENSG00000244296.3		RN7SL168P	misc_RNA	chr22	19365766	19366044	gene	+
ENSG00000185608.8		MRPL40	protein_coding	chr22	19431902	19436075	gene	+
ENSG00000185065.6		AC000068.5	antisense	chr22	19447893	19450105	gene	+
ENSG00000070010.18		UFD1L	protein_coding	chr22	19449910	19479215	gene	-
ENSG00000273300.1		AC000068.9	antisense	chr22	19454179	19454605	gene	+
ENSG00000273212.1		AC000068.10	antisense	chr22	19456503	19456962	gene	+
ENSG00000093009.9		CDC45	protein_coding	chr22	19479459	19520612	gene	+
ENSG00000184113.9		CLDN5	protein_coding	chr22	19523024	19527545	gene	-
ENSG00000281548.1		LINC00895	lincRNA	chr22	19565203	19566839	gene	-
ENSG00000230485.1		AC000077.2	processed_pseudogene	chr22	19630750	19633574	gene	-
ENSG00000225007.1		AC000067.1	lincRNA	chr22	19667023	19667555	gene	+
ENSG00000184702.17		SEPT5	protein_coding	chr22	19714464	19724772	gene	+
ENSG00000203618.5		GP1BB	protein_coding	chr22	19722945	19724771	gene	+
ENSG00000184058.12		TBX1	protein_coding	chr22	19756703	19783593	gene	+
ENSG00000185838.13		GNB1L	protein_coding	chr22	19783224	19854939	gene	-
ENSG00000235776.2		AC000089.3	processed_pseudogene	chr22	19792294	19793094	gene	+
ENSG00000215012.8		C22orf29	protein_coding	chr22	19846138	19854896	gene	-
ENSG00000184470.20		TXNRD2	protein_coding	chr22	19875517	19941992	gene	-
ENSG00000232926.1		AC000078.5	processed_pseudogene	chr22	19887289	19887970	gene	+
ENSG00000093010.13		COMT	protein_coding	chr22	19941607	19969975	gene	+
ENSG00000284031.1		MIR4761	miRNA	chr22	19963753	19963834	gene	+
ENSG00000099889.13		ARVCF	protein_coding	chr22	19969896	20016808	gene	-
ENSG00000183597.15		TANGO2	protein_coding	chr22	20017014	20065926	gene	+
ENSG00000208023.3		MIR185	miRNA	chr22	20033139	20033220	gene	+
ENSG00000236540.7		AC006547.13	antisense	chr22	20058030	20070569	gene	-
ENSG00000268292.1		AC006547.15	antisense	chr22	20064552	20065705	gene	-
ENSG00000277950.1		Metazoa_SRP	misc_RNA	chr22	20070716	20070965	gene	+
ENSG00000128191.15		DGCR8	protein_coding	chr22	20080232	20111877	gene	+
ENSG00000284140.1		MIR3618	miRNA	chr22	20085746	20085833	gene	+
ENSG00000284464.1		MIR1306	miRNA	chr22	20086058	20086142	gene	+
ENSG00000243762.1		AC006547.8	antisense	chr22	20110821	20111875	gene	-
ENSG00000099899.14		TRMT2A	protein_coding	chr22	20111866	20117392	gene	-
ENSG00000278278.1		MIR6816	miRNA	chr22	20114686	20114751	gene	-
ENSG00000099901.16		RANBP1	protein_coding	chr22	20115938	20127357	gene	+
ENSG00000264346.1		SNORA77	snoRNA	chr22	20126402	20126526	gene	+
ENSG00000099904.15		ZDHHC8	protein_coding	chr22	20129456	20148007	gene	+
ENSG00000234409.6		CCDC188	protein_coding	chr22	20148427	20151065	gene	-
ENSG00000249923.1		XXbac-B444P24.8	antisense	chr22	20198729	20204918	gene	-
ENSG00000236499.2		LINC00896	lincRNA	chr22	20206397	20208524	gene	+
ENSG00000040608.13		RTN4R	protein_coding	chr22	20241415	20283246	gene	-
ENSG00000221039.3		MIR1286	miRNA	chr22	20249134	20249211	gene	-
ENSG00000161132.6		XXbac-B444P24.10	unprocessed_pseudogene	chr22	20299760	20313216	gene	+
ENSG00000128185.9		DGCR6L	protein_coding	chr22	20314276	20320080	gene	-
ENSG00000273343.1		XXbac-B444P24.13	sense_intronic	chr22	20318119	20318749	gene	-
ENSG00000273139.1		XXbac-B444P24.14	lincRNA	chr22	20320739	20321203	gene	+
ENSG00000188280.11		AC007731.1	antisense	chr22	20338805	20354372	gene	+
ENSG00000235578.1		XXbac-B33L19.4	lincRNA	chr22	20343203	20344365	gene	-
ENSG00000161133.16		USP41	protein_coding	chr22	20350578	20390758	gene	-
ENSG00000185252.18		ZNF74	protein_coding	chr22	20394115	20408461	gene	+
ENSG00000207343.1		RNU6-225P	snRNA	chr22	20416797	20416899	gene	-
ENSG00000244486.8		SCARF2	protein_coding	chr22	20424815	20437826	gene	-
ENSG00000277971.1		XXbac-B562F10.12	protein_coding	chr22	20429241	20446620	gene	-
ENSG00000099910.16		KLHL22	protein_coding	chr22	20441519	20495883	gene	-
ENSG00000215493.3		XXbac-B562F10.11	processed_pseudogene	chr22	20450122	20451824	gene	+
ENSG00000255156.1		RNY1P9	misc_RNA	chr22	20475203	20475311	gene	-
ENSG00000201916.1		Y_RNA	misc_RNA	chr22	20481158	20481268	gene	+
ENSG00000242876.3		RN7SL812P	misc_RNA	chr22	20481935	20482213	gene	-
ENSG00000236670.1		KRT18P5	processed_pseudogene	chr22	20482815	20484105	gene	-
ENSG00000099917.17		MED15	protein_coding	chr22	20495913	20587632	gene	+
ENSG00000236003.1		AC007050.17	antisense	chr22	20522070	20523870	gene	-
ENSG00000250261.1		CCDC74BP1	unprocessed_pseudogene	chr22	20587496	20592218	gene	-
ENSG00000223553.6		SMPD4P1	transcribed_unprocessed_pseudogene	chr22	20602595	20656914	gene	-
ENSG00000276427.1		IGLL4P	unprocessed_pseudogene	chr22	20632619	20632751	gene	+
ENSG00000238125.1		SLC9A3P2	processed_pseudogene	chr22	20652730	20654750	gene	+
ENSG00000229107.2		ABHD17AP4	processed_pseudogene	chr22	20667836	20670984	gene	-
ENSG00000217261.4		POM121L4P	transcribed_unprocessed_pseudogene	chr22	20689929	20698938	gene	+
ENSG00000235062.4		BCRP5	unprocessed_pseudogene	chr22	20697962	20698934	gene	-
ENSG00000226287.8		TMEM191A	transcribed_unprocessed_pseudogene	chr22	20701114	20704606	gene	+
ENSG00000241973.10		PI4KA	protein_coding	chr22	20707691	20859417	gene	-
ENSG00000099937.10		SERPIND1	protein_coding	chr22	20773879	20787720	gene	+
ENSG00000099940.11		SNAP29	protein_coding	chr22	20858983	20891218	gene	+
ENSG00000272600.1		AC007308.7	antisense	chr22	20889206	20891214	gene	-
ENSG00000099942.12		CRKL	protein_coding	chr22	20917426	20953749	gene	+
ENSG00000237476.1		LINC01637	lincRNA	chr22	20957092	20964679	gene	+
ENSG00000183773.15		AIFM3	protein_coding	chr22	20965108	20981360	gene	+
ENSG00000099949.18		LZTR1	protein_coding	chr22	20979462	20999038	gene	+
ENSG00000272829.1		XXbac-B135H6.18	lincRNA	chr22	20981361	20981755	gene	-
ENSG00000184436.11		THAP7	protein_coding	chr22	20999104	21002196	gene	-
ENSG00000230513.1		THAP7-AS1	antisense	chr22	21001886	21010342	gene	+
ENSG00000284060.1		AC002472.8	transcribed_unprocessed_pseudogene	chr22	21002895	21009453	gene	-
ENSG00000161149.12		TUBA3FP	processed_transcript	chr22	21008193	21014292	gene	-
ENSG00000099957.16		P2RX6	protein_coding	chr22	21009808	21028830	gene	+
ENSG00000284130.1		AC002472.16	transcribed_unprocessed_pseudogene	chr22	21011384	21014217	gene	-
ENSG00000099960.12		SLC7A4	protein_coding	chr22	21028718	21032840	gene	-
ENSG00000226872.1		AC002472.11	antisense	chr22	21031357	21043969	gene	+
ENSG00000207575.1		MIR649	miRNA	chr22	21034176	21034272	gene	-
ENSG00000206145.8		P2RX6P	transcribed_unprocessed_pseudogene	chr22	21035243	21045017	gene	-
ENSG00000187905.10		LRRC74B	protein_coding	chr22	21045960	21064168	gene	+
ENSG00000249680.2		TUBA3GP	unprocessed_pseudogene	chr22	21065462	21070097	gene	+
ENSG00000169668.11		BCRP2	transcribed_unprocessed_pseudogene	chr22	21103016	21122285	gene	+
ENSG00000197210.7		KB-1592A4.15	lincRNA	chr22	21114607	21124451	gene	-
ENSG00000239511.2		POM121L7P	processed_pseudogene	chr22	21125660	21128063	gene	-
ENSG00000224688.1		E2F6P2	processed_pseudogene	chr22	21141624	21142371	gene	-
ENSG00000215498.8		FAM230B	processed_transcript	chr22	21167758	21302681	gene	+
ENSG00000234503.1		KB-1592A4.14	lincRNA	chr22	21177892	21179875	gene	-
ENSG00000283972.1		KB-1592A4.17	transcribed_unprocessed_pseudogene	chr22	21193360	21203755	gene	-
ENSG00000133475.16		GGT2	protein_coding	chr22	21207973	21227637	gene	-
ENSG00000283145.1		KB-1592A4.16	unprocessed_pseudogene	chr22	21228760	21229138	gene	-
ENSG00000226885.1		E2F6P3	processed_pseudogene	chr22	21268161	21268903	gene	+
ENSG00000229266.1		POM121L8P	processed_pseudogene	chr22	21282881	21284161	gene	+
ENSG00000169662.8		BCRP6	unprocessed_pseudogene	chr22	21290760	21294586	gene	-
ENSG00000206142.9		KB-1183D5.13	lincRNA	chr22	21300990	21325042	gene	-
ENSG00000237407.1		KB-1183D5.14	lincRNA	chr22	21312920	21314904	gene	+
ENSG00000232771.2		PPP1R26P5	processed_pseudogene	chr22	21341595	21345258	gene	+
ENSG00000279920.1		LINC01651	lincRNA	chr22	21354563	21355763	gene	+
ENSG00000226534.1		KB-1183D5.16	processed_pseudogene	chr22	21370064	21371945	gene	+
ENSG00000273846.1		Metazoa_SRP	misc_RNA	chr22	21379382	21379701	gene	-
ENSG00000274600.1		RIMBP3B	protein_coding	chr22	21383374	21389478	gene	+
ENSG00000200057.1		RN7SKP63	misc_RNA	chr22	21389191	21389491	gene	+
ENSG00000252020.1		SCARNA17	scaRNA	chr22	21389796	21389938	gene	-
ENSG00000275840.1		Metazoa_SRP	misc_RNA	chr22	21396273	21396590	gene	-
ENSG00000169635.9		HIC2	protein_coding	chr22	21417404	21451463	gene	+
ENSG00000276800.1		Metazoa_SRP	misc_RNA	chr22	21463963	21464279	gene	+
ENSG00000206140.10		TMEM191C	protein_coding	chr22	21466423	21471269	gene	+
ENSG00000183506.17		PI4KAP2	transcribed_unprocessed_pseudogene	chr22	21473000	21517533	gene	-
ENSG00000252143.1		SCARNA17	scaRNA	chr22	21544897	21545039	gene	+
ENSG00000222352.1		RN7SKP221	misc_RNA	chr22	21545344	21545644	gene	-
ENSG00000183246.6		RIMBP3C	protein_coding	chr22	21545357	21551461	gene	-
ENSG00000185651.14		UBE2L3	protein_coding	chr22	21549447	21624034	gene	+
ENSG00000275293.1		Metazoa_SRP	misc_RNA	chr22	21555138	21555457	gene	+
ENSG00000161179.13		YDJC	protein_coding	chr22	21628089	21630064	gene	-
ENSG00000161180.10		CCDC116	protein_coding	chr22	21632716	21637327	gene	+
ENSG00000273342.1		KB-1440D3.14	lincRNA	chr22	21640844	21641284	gene	+
ENSG00000128228.4		SDF2L1	protein_coding	chr22	21642261	21644298	gene	+
ENSG00000207751.3		MIR130B	processed_transcript	chr22	21652270	21670237	gene	+
ENSG00000212102.1		MIR301B	miRNA	chr22	21652981	21653058	gene	+
ENSG00000283871.1		MIR130B	miRNA	chr22	21653304	21653385	gene	+
ENSG00000272954.1		KB-1440D3.13	sense_intronic	chr22	21661934	21662363	gene	+
ENSG00000100023.18		PPIL2	protein_coding	chr22	21666009	21700015	gene	+
ENSG00000100027.14		YPEL1	protein_coding	chr22	21697544	21735834	gene	-
ENSG00000244671.3		RN7SL280P	misc_RNA	chr22	21722895	21723182	gene	-
ENSG00000100030.14		MAPK1	protein_coding	chr22	21754500	21867680	gene	-
ENSG00000200985.1		RNA5SP493	rRNA	chr22	21792434	21792524	gene	+
ENSG00000225544.1		KB-1027C11.4	processed_pseudogene	chr22	21885282	21885673	gene	-
ENSG00000100034.13		PPM1F	protein_coding	chr22	21919420	21952837	gene	-
ENSG00000224086.5		LL22NC03-86G7.1	antisense	chr22	21938293	21977632	gene	+
